National Total;Nationality;Periodo;Total
16 País Vasco;Spanish ;2012;1.209
16 País Vasco;Spanish ;2011;1.236
16 País Vasco;Spanish ;2010;1.103
16 País Vasco;Spanish ;2009;1.044
16 País Vasco;Spanish ;2008;1.152
16 País Vasco;País de la UE27_2020 sin España;2021;1.715
16 País Vasco;País de la UE27_2020 sin España;2020;1.709
16 País Vasco;País de la UE27_2020 sin España;2019;""
16 País Vasco;País de la UE27_2020 sin España;2018;""
16 País Vasco;País de la UE27_2020 sin España;2017;""
16 País Vasco;País de la UE27_2020 sin España;2016;""
16 País Vasco;País de la UE27_2020 sin España;2015;""
16 País Vasco;País de la UE27_2020 sin España;2014;""
16 País Vasco;País de la UE27_2020 sin España;2013;""
16 País Vasco;País de la UE27_2020 sin España;2012;""
16 País Vasco;País de la UE27_2020 sin España;2011;""
16 País Vasco;País de la UE27_2020 sin España;2010;""
16 País Vasco;País de la UE27_2020 sin España;2009;""
16 País Vasco;País de la UE27_2020 sin España;2008;""
16 País Vasco;País de la UE28 sin España;2021;""
16 País Vasco;País de la UE28 sin España;2020;""
16 País Vasco;País de la UE28 sin España;2019;2.515
16 País Vasco;País de la UE28 sin España;2018;2.347
16 País Vasco;País de la UE28 sin España;2017;2.405
16 País Vasco;País de la UE28 sin España;2016;2.032
16 País Vasco;País de la UE28 sin España;2015;1.917
16 País Vasco;País de la UE28 sin España;2014;1.873
16 País Vasco;País de la UE28 sin España;2013;1.823
16 País Vasco;País de la UE28 sin España;2012;1.929
16 País Vasco;País de la UE28 sin España;2011;2.708
16 País Vasco;País de la UE28 sin España;2010;2.475
16 País Vasco;País de la UE28 sin España;2009;2.503
16 País Vasco;País de la UE28 sin España;2008;3.669
16 País Vasco;Belgium;2021;13
16 País Vasco;Belgium;2020;13
16 País Vasco;Belgium;2019;13
16 País Vasco;Belgium;2018;27
16 País Vasco;Belgium;2017;26
16 País Vasco;Belgium;2016;15
16 País Vasco;Belgium;2015;13
16 País Vasco;Belgium;2014;10
16 País Vasco;Belgium;2013;9
16 País Vasco;Belgium;2012;9
16 País Vasco;Belgium;2011;15
16 País Vasco;Belgium;2010;13
16 País Vasco;Belgium;2009;13
16 País Vasco;Belgium;2008;20
16 País Vasco;Bulgaria;2021;21
16 País Vasco;Bulgaria;2020;30
16 País Vasco;Bulgaria;2019;43
16 País Vasco;Bulgaria;2018;30
16 País Vasco;Bulgaria;2017;37
16 País Vasco;Bulgaria;2016;64
16 País Vasco;Bulgaria;2015;39
16 País Vasco;Bulgaria;2014;45
16 País Vasco;Bulgaria;2013;37
16 País Vasco;Bulgaria;2012;45
16 País Vasco;Bulgaria;2011;105
16 País Vasco;Bulgaria;2010;51
16 País Vasco;Bulgaria;2009;52
16 País Vasco;Bulgaria;2008;93
16 País Vasco;Denmark;2021;5
16 País Vasco;Denmark;2020;2
16 País Vasco;Denmark;2019;12
16 País Vasco;Denmark;2018;8
16 País Vasco;Denmark;2017;8
16 País Vasco;Denmark;2016;6
16 País Vasco;Denmark;2015;5
16 País Vasco;Denmark;2014;6
16 País Vasco;Denmark;2013;6
16 País Vasco;Denmark;2012;10
16 País Vasco;Denmark;2011;8
16 País Vasco;Denmark;2010;2
16 País Vasco;Denmark;2009;9
16 País Vasco;Denmark;2008;3
16 País Vasco;Finland;2021;4
16 País Vasco;Finland;2020;7
16 País Vasco;Finland;2019;7
16 País Vasco;Finland;2018;6
16 País Vasco;Finland;2017;4
16 País Vasco;Finland;2016;5
16 País Vasco;Finland;2015;4
16 País Vasco;Finland;2014;8
16 País Vasco;Finland;2013;5
16 País Vasco;Finland;2012;7
16 País Vasco;Finland;2011;6
16 País Vasco;Finland;2010;6
16 País Vasco;Finland;2009;8
16 País Vasco;Finland;2008;1
16 País Vasco;France;2021;209
16 País Vasco;France;2020;240
16 País Vasco;France;2019;194
16 País Vasco;France;2018;197
16 País Vasco;France;2017;169
16 País Vasco;France;2016;169
16 País Vasco;France;2015;169
16 País Vasco;France;2014;156
16 País Vasco;France;2013;171
16 País Vasco;France;2012;173
16 País Vasco;France;2011;151
16 País Vasco;France;2010;159
16 País Vasco;France;2009;153
16 País Vasco;France;2008;168
16 País Vasco;Ireland;2021;30
16 País Vasco;Ireland;2020;25
16 País Vasco;Ireland;2019;36
16 País Vasco;Ireland;2018;25
16 País Vasco;Ireland;2017;32
16 País Vasco;Ireland;2016;21
16 País Vasco;Ireland;2015;23
16 País Vasco;Ireland;2014;30
16 País Vasco;Ireland;2013;26
16 País Vasco;Ireland;2012;27
16 País Vasco;Ireland;2011;19
16 País Vasco;Ireland;2010;16
16 País Vasco;Ireland;2009;21
16 País Vasco;Ireland;2008;34
16 País Vasco;Italy;2021;363
16 País Vasco;Italy;2020;326
16 País Vasco;Italy;2019;413
16 País Vasco;Italy;2018;377
16 País Vasco;Italy;2017;309
16 País Vasco;Italy;2016;212
16 País Vasco;Italy;2015;180
16 País Vasco;Italy;2014;144
16 País Vasco;Italy;2013;132
16 País Vasco;Italy;2012;162
16 País Vasco;Italy;2011;187
16 País Vasco;Italy;2010;171
16 País Vasco;Italy;2009;183
16 País Vasco;Italy;2008;263
16 País Vasco;Netherlands;2021;40
16 País Vasco;Netherlands;2020;19
16 País Vasco;Netherlands;2019;24
16 País Vasco;Netherlands;2018;12
16 País Vasco;Netherlands;2017;31
16 País Vasco;Netherlands;2016;29
16 País Vasco;Netherlands;2015;28
16 País Vasco;Netherlands;2014;28
16 País Vasco;Netherlands;2013;17
16 País Vasco;Netherlands;2012;24
16 País Vasco;Netherlands;2011;23
16 País Vasco;Netherlands;2010;29
16 País Vasco;Netherlands;2009;15
16 País Vasco;Netherlands;2008;27
16 País Vasco;Poland;2021;50
16 País Vasco;Poland;2020;29
16 País Vasco;Poland;2019;28
16 País Vasco;Poland;2018;39
16 País Vasco;Poland;2017;37
16 País Vasco;Poland;2016;47
16 País Vasco;Poland;2015;28
16 País Vasco;Poland;2014;39
16 País Vasco;Poland;2013;41
16 País Vasco;Poland;2012;38
16 País Vasco;Poland;2011;50
16 País Vasco;Poland;2010;54
16 País Vasco;Poland;2009;68
16 País Vasco;Poland;2008;93
16 País Vasco;Portugal;2021;221
16 País Vasco;Portugal;2020;203
16 País Vasco;Portugal;2019;330
16 País Vasco;Portugal;2018;279
16 País Vasco;Portugal;2017;269
16 País Vasco;Portugal;2016;262
16 País Vasco;Portugal;2015;242
16 País Vasco;Portugal;2014;247
16 País Vasco;Portugal;2013;217
16 País Vasco;Portugal;2012;303
16 País Vasco;Portugal;2011;359
16 País Vasco;Portugal;2010;363
16 País Vasco;Portugal;2009;483
16 País Vasco;Portugal;2008;947
16 País Vasco;Germany;2021;92
16 País Vasco;Germany;2020;111
16 País Vasco;Germany;2019;141
16 País Vasco;Germany;2018;101
16 País Vasco;Germany;2017;111
16 País Vasco;Germany;2016;64
16 País Vasco;Germany;2015;80
16 País Vasco;Germany;2014;86
16 País Vasco;Germany;2013;90
16 País Vasco;Germany;2012;90
16 País Vasco;Germany;2011;112
16 País Vasco;Germany;2010;93
16 País Vasco;Germany;2009;84
16 País Vasco;Germany;2008;117
16 País Vasco;Romania;2021;575
16 País Vasco;Romania;2020;621
16 País Vasco;Romania;2019;995
16 País Vasco;Romania;2018;1.032
16 País Vasco;Romania;2017;1.112
16 País Vasco;Romania;2016;896
16 País Vasco;Romania;2015;891
16 País Vasco;Romania;2014;880
16 País Vasco;Romania;2013;875
16 País Vasco;Romania;2012;856
16 País Vasco;Romania;2011;1.498
16 País Vasco;Romania;2010;1.349
16 País Vasco;Romania;2009;1.230
16 País Vasco;Romania;2008;1.717
16 País Vasco;Sweden;2021;18
16 País Vasco;Sweden;2020;8
16 País Vasco;Sweden;2019;15
16 País Vasco;Sweden;2018;9
16 País Vasco;Sweden;2017;10
16 País Vasco;Sweden;2016;10
16 País Vasco;Sweden;2015;5
16 País Vasco;Sweden;2014;4
16 País Vasco;Sweden;2013;7
16 País Vasco;Sweden;2012;6
16 País Vasco;Sweden;2011;5
16 País Vasco;Sweden;2010;10
16 País Vasco;Sweden;2009;12
16 País Vasco;Sweden;2008;11
16 País Vasco;Lithuania;2021;3
16 País Vasco;Lithuania;2020;6
16 País Vasco;Lithuania;2019;9
16 País Vasco;Lithuania;2018;9
16 País Vasco;Lithuania;2017;8
16 País Vasco;Lithuania;2016;7
16 País Vasco;Lithuania;2015;7
16 País Vasco;Lithuania;2014;7
16 País Vasco;Lithuania;2013;8
16 País Vasco;Lithuania;2012;5
16 País Vasco;Lithuania;2011;5
16 País Vasco;Lithuania;2010;12
16 País Vasco;Lithuania;2009;9
16 País Vasco;Lithuania;2008;12
16 País Vasco;Other countries of the European Union;2021;71
16 País Vasco;Other countries of the European Union;2020;69
16 País Vasco;Other countries of the European Union;2019;83
16 País Vasco;Other countries of the European Union;2018;76
16 País Vasco;Other countries of the European Union;2017;96
16 País Vasco;Other countries of the European Union;2016;89
16 País Vasco;Other countries of the European Union;2015;88
16 País Vasco;Other countries of the European Union;2014;73
16 País Vasco;Other countries of the European Union;2013;69
16 País Vasco;Other countries of the European Union;2012;55
16 País Vasco;Other countries of the European Union;2011;69
16 País Vasco;Other countries of the European Union;2010;66
16 País Vasco;Other countries of the European Union;2009;66
16 País Vasco;Other countries of the European Union;2008;73
16 País Vasco;País de Europa menos UE27_2020;2021;464
16 País Vasco;País de Europa menos UE27_2020;2020;464
16 País Vasco;País de Europa menos UE27_2020;2019;""
16 País Vasco;País de Europa menos UE27_2020;2018;""
16 País Vasco;País de Europa menos UE27_2020;2017;""
16 País Vasco;País de Europa menos UE27_2020;2016;""
16 País Vasco;País de Europa menos UE27_2020;2015;""
16 País Vasco;País de Europa menos UE27_2020;2014;""
16 País Vasco;País de Europa menos UE27_2020;2013;""
16 País Vasco;País de Europa menos UE27_2020;2012;""
16 País Vasco;País de Europa menos UE27_2020;2011;""
16 País Vasco;País de Europa menos UE27_2020;2010;""
16 País Vasco;País de Europa menos UE27_2020;2009;""
16 País Vasco;País de Europa menos UE27_2020;2008;""
16 País Vasco;United Kingdom;2021;113
16 País Vasco;United Kingdom;2020;133
16 País Vasco;United Kingdom;2019;172
16 País Vasco;United Kingdom;2018;120
16 País Vasco;United Kingdom;2017;146
16 País Vasco;United Kingdom;2016;135
16 País Vasco;United Kingdom;2015;114
16 País Vasco;United Kingdom;2014;111
16 País Vasco;United Kingdom;2013;112
16 País Vasco;United Kingdom;2012;118
16 País Vasco;United Kingdom;2011;95
16 País Vasco;United Kingdom;2010;80
16 País Vasco;United Kingdom;2009;96
16 País Vasco;United Kingdom;2008;89
16 País Vasco;País de Europa menos UE28;2021;""
16 País Vasco;País de Europa menos UE28;2020;""
16 País Vasco;País de Europa menos UE28;2019;614
16 País Vasco;País de Europa menos UE28;2018;546
16 País Vasco;País de Europa menos UE28;2017;515
16 País Vasco;País de Europa menos UE28;2016;391
16 País Vasco;País de Europa menos UE28;2015;379
16 País Vasco;País de Europa menos UE28;2014;360
16 País Vasco;País de Europa menos UE28;2013;234
16 País Vasco;País de Europa menos UE28;2012;305
16 País Vasco;País de Europa menos UE28;2011;345
16 País Vasco;País de Europa menos UE28;2010;373
16 País Vasco;País de Europa menos UE28;2009;409
16 País Vasco;País de Europa menos UE28;2008;532
16 País Vasco;Norway;2021;1
16 País Vasco;Norway;2020;2
16 País Vasco;Norway;2019;8
16 País Vasco;Norway;2018;4
16 País Vasco;Norway;2017;5
16 País Vasco;Norway;2016;2
16 País Vasco;Norway;2015;2
16 País Vasco;Norway;2014;8
16 País Vasco;Norway;2013;""
16 País Vasco;Norway;2012;5
16 País Vasco;Norway;2011;1
16 País Vasco;Norway;2010;5
16 País Vasco;Norway;2009;3
16 País Vasco;Norway;2008;3
16 País Vasco;Switzerland;2021;5
16 País Vasco;Switzerland;2020;9
16 País Vasco;Switzerland;2019;16
16 País Vasco;Switzerland;2018;7
16 País Vasco;Switzerland;2017;12
16 País Vasco;Switzerland;2016;8
16 País Vasco;Switzerland;2015;9
16 País Vasco;Switzerland;2014;5
16 País Vasco;Switzerland;2013;12
16 País Vasco;Switzerland;2012;8
16 País Vasco;Switzerland;2011;1
16 País Vasco;Switzerland;2010;11
16 País Vasco;Switzerland;2009;5
16 País Vasco;Switzerland;2008;2
16 País Vasco;Ukraine;2021;124
16 País Vasco;Ukraine;2020;96
16 País Vasco;Ukraine;2019;196
16 País Vasco;Ukraine;2018;159
16 País Vasco;Ukraine;2017;181
16 País Vasco;Ukraine;2016;162
16 País Vasco;Ukraine;2015;187
16 País Vasco;Ukraine;2014;151
16 País Vasco;Ukraine;2013;83
16 País Vasco;Ukraine;2012;113
16 País Vasco;Ukraine;2011;129
16 País Vasco;Ukraine;2010;123
16 País Vasco;Ukraine;2009;168
16 País Vasco;Ukraine;2008;198
16 País Vasco;Moldova;2021;36
16 País Vasco;Moldova;2020;28
16 País Vasco;Moldova;2019;53
16 País Vasco;Moldova;2018;73
16 País Vasco;Moldova;2017;52
16 País Vasco;Moldova;2016;42
16 País Vasco;Moldova;2015;38
16 País Vasco;Moldova;2014;32
16 País Vasco;Moldova;2013;24
16 País Vasco;Moldova;2012;21
16 País Vasco;Moldova;2011;22
16 País Vasco;Moldova;2010;37
16 País Vasco;Moldova;2009;40
16 País Vasco;Moldova;2008;72
16 País Vasco;Russia;2021;49
16 País Vasco;Russia;2020;51
16 País Vasco;Russia;2019;67
16 País Vasco;Russia;2018;81
16 País Vasco;Russia;2017;72
16 País Vasco;Russia;2016;49
16 País Vasco;Russia;2015;46
16 País Vasco;Russia;2014;60
16 País Vasco;Russia;2013;42
16 País Vasco;Russia;2012;65
16 País Vasco;Russia;2011;81
16 País Vasco;Russia;2010;92
16 País Vasco;Russia;2009;88
16 País Vasco;Russia;2008;110
16 País Vasco;Other European Union countries;2021;136
16 País Vasco;Other European Union countries;2020;145
16 País Vasco;Other European Union countries;2019;274
16 País Vasco;Other European Union countries;2018;222
16 País Vasco;Other European Union countries;2017;193
16 País Vasco;Other European Union countries;2016;128
16 País Vasco;Other European Union countries;2015;97
16 País Vasco;Other European Union countries;2014;105
16 País Vasco;Other European Union countries;2013;73
16 País Vasco;Other European Union countries;2012;93
16 País Vasco;Other European Union countries;2011;110
16 País Vasco;Other European Union countries;2010;106
16 País Vasco;Other European Union countries;2009;104
16 País Vasco;Other European Union countries;2008;147
16 País Vasco;De Africa;2021;2.970
16 País Vasco;De Africa;2020;2.502
16 País Vasco;De Africa;2019;4.198
16 País Vasco;De Africa;2018;3.554
16 País Vasco;De Africa;2017;2.621
16 País Vasco;De Africa;2016;2.184
16 País Vasco;De Africa;2015;1.739
16 País Vasco;De Africa;2014;1.609
16 País Vasco;De Africa;2013;1.634
16 País Vasco;De Africa;2012;1.550
16 País Vasco;De Africa;2011;1.965
16 País Vasco;De Africa;2010;1.924
16 País Vasco;De Africa;2009;2.437
16 País Vasco;De Africa;2008;3.191
16 País Vasco;Algeria;2021;438
16 País Vasco;Algeria;2020;365
16 País Vasco;Algeria;2019;499
16 País Vasco;Algeria;2018;476
16 País Vasco;Algeria;2017;315
16 País Vasco;Algeria;2016;290
16 País Vasco;Algeria;2015;287
16 País Vasco;Algeria;2014;246
16 País Vasco;Algeria;2013;241
16 País Vasco;Algeria;2012;214
16 País Vasco;Algeria;2011;304
16 País Vasco;Algeria;2010;364
16 País Vasco;Algeria;2009;426
16 País Vasco;Algeria;2008;481
16 País Vasco;The Gambia;2021;35
16 País Vasco;The Gambia;2020;13
16 País Vasco;The Gambia;2019;33
16 País Vasco;The Gambia;2018;20
16 País Vasco;The Gambia;2017;32
16 País Vasco;The Gambia;2016;22
16 País Vasco;The Gambia;2015;11
16 País Vasco;The Gambia;2014;17
16 País Vasco;The Gambia;2013;12
16 País Vasco;The Gambia;2012;24
16 País Vasco;The Gambia;2011;8
16 País Vasco;The Gambia;2010;7
16 País Vasco;The Gambia;2009;26
16 País Vasco;The Gambia;2008;12
16 País Vasco;GHANA;2021;53
16 País Vasco;GHANA;2020;39
16 País Vasco;GHANA;2019;60
16 País Vasco;GHANA;2018;64
16 País Vasco;GHANA;2017;52
16 País Vasco;GHANA;2016;41
16 País Vasco;GHANA;2015;41
16 País Vasco;GHANA;2014;37
16 País Vasco;GHANA;2013;38
16 País Vasco;GHANA;2012;45
16 País Vasco;GHANA;2011;79
16 País Vasco;GHANA;2010;67
16 País Vasco;GHANA;2009;65
16 País Vasco;GHANA;2008;55
16 País Vasco;Guinea;2021;25
16 País Vasco;Guinea;2020;32
16 País Vasco;Guinea;2019;63
16 País Vasco;Guinea;2018;34
16 País Vasco;Guinea;2017;30
16 País Vasco;Guinea;2016;48
16 País Vasco;Guinea;2015;26
16 País Vasco;Guinea;2014;20
16 País Vasco;Guinea;2013;23
16 País Vasco;Guinea;2012;19
16 País Vasco;Guinea;2011;25
16 País Vasco;Guinea;2010;30
16 País Vasco;Guinea;2009;95
16 País Vasco;Guinea;2008;68
16 País Vasco;Equatorial Guinea;2021;35
16 País Vasco;Equatorial Guinea;2020;25
16 País Vasco;Equatorial Guinea;2019;57
16 País Vasco;Equatorial Guinea;2018;77
16 País Vasco;Equatorial Guinea;2017;79
16 País Vasco;Equatorial Guinea;2016;91
16 País Vasco;Equatorial Guinea;2015;70
16 País Vasco;Equatorial Guinea;2014;80
16 País Vasco;Equatorial Guinea;2013;66
16 País Vasco;Equatorial Guinea;2012;61
16 País Vasco;Equatorial Guinea;2011;50
16 País Vasco;Equatorial Guinea;2010;60
16 País Vasco;Equatorial Guinea;2009;75
16 País Vasco;Equatorial Guinea;2008;128
16 País Vasco;Mali;2021;81
16 País Vasco;Mali;2020;32
16 País Vasco;Mali;2019;68
16 País Vasco;Mali;2018;40
16 País Vasco;Mali;2017;33
16 País Vasco;Mali;2016;50
16 País Vasco;Mali;2015;49
16 País Vasco;Mali;2014;52
16 País Vasco;Mali;2013;43
16 País Vasco;Mali;2012;40
16 País Vasco;Mali;2011;63
16 País Vasco;Mali;2010;49
16 País Vasco;Mali;2009;45
16 País Vasco;Mali;2008;44
16 País Vasco;Morocco;2021;1.562
16 País Vasco;Morocco;2020;1.453
16 País Vasco;Morocco;2019;2.431
16 País Vasco;Morocco;2018;1.945
16 País Vasco;Morocco;2017;1.293
16 País Vasco;Morocco;2016;910
16 País Vasco;Morocco;2015;628
16 País Vasco;Morocco;2014;565
16 País Vasco;Morocco;2013;648
16 País Vasco;Morocco;2012;632
16 País Vasco;Morocco;2011;795
16 País Vasco;Morocco;2010;784
16 País Vasco;Morocco;2009;959
16 País Vasco;Morocco;2008;1.540
16 País Vasco;Mauritania;2021;43
16 País Vasco;Mauritania;2020;29
16 País Vasco;Mauritania;2019;36
16 País Vasco;Mauritania;2018;34
16 País Vasco;Mauritania;2017;32
16 País Vasco;Mauritania;2016;84
16 País Vasco;Mauritania;2015;59
16 País Vasco;Mauritania;2014;50
16 País Vasco;Mauritania;2013;48
16 País Vasco;Mauritania;2012;28
16 País Vasco;Mauritania;2011;39
16 País Vasco;Mauritania;2010;32
16 País Vasco;Mauritania;2009;49
16 País Vasco;Mauritania;2008;43
16 País Vasco;Nigeria;2021;132
16 País Vasco;Nigeria;2020;123
16 País Vasco;Nigeria;2019;170
16 País Vasco;Nigeria;2018;144
16 País Vasco;Nigeria;2017;173
16 País Vasco;Nigeria;2016;126
16 País Vasco;Nigeria;2015;108
16 País Vasco;Nigeria;2014;101
16 País Vasco;Nigeria;2013;97
16 País Vasco;Nigeria;2012;93
16 País Vasco;Nigeria;2011;108
16 País Vasco;Nigeria;2010;102
16 País Vasco;Nigeria;2009;102
16 País Vasco;Nigeria;2008;191
16 País Vasco;Senegal;2021;324
16 País Vasco;Senegal;2020;252
16 País Vasco;Senegal;2019;454
16 País Vasco;Senegal;2018;459
16 País Vasco;Senegal;2017;330
16 País Vasco;Senegal;2016;256
16 País Vasco;Senegal;2015;198
16 País Vasco;Senegal;2014;220
16 País Vasco;Senegal;2013;246
16 País Vasco;Senegal;2012;195
16 País Vasco;Senegal;2011;246
16 País Vasco;Senegal;2010;208
16 País Vasco;Senegal;2009;298
16 País Vasco;Senegal;2008;376
16 País Vasco;Other African countries;2021;242
16 País Vasco;Other African countries;2020;139
16 País Vasco;Other African countries;2019;327
16 País Vasco;Other African countries;2018;261
